,station_name,station_id,lat,lng,_merge
91,Parade Pl & Crooke Ave,3376.02,40.651847,-73.965248,left_only
92,Parade Pl & Crooke Ave,3376.02,40.651938319,-73.96530056,right_only
93,5 Ave & 37 St,3379.03,40.652657,-74.002356,both
94,Prospect Park SW & Greenwood Ave,3385.06,40.652329803,-73.972545266,right_only
95,Prospect Park SW & Greenwood Ave,3385.06,40.652563,-73.972573,left_only
96,41 St & 3 Ave,3388.02,40.652512,-74.008906,both
97,McDonald Ave & Vanderbilt St,3394.03,40.651654,-73.981231,left_only
98,McDonald Ave & Vanderbilt St,3394.03,40.651795268,-73.981288314,right_only
99,36 St & 4 Ave,3420.01,40.654144,-74.00422,both
100,Prospect Ave & Vanderbilt St,3426.02,40.653368,-73.976291,left_only
101,Prospect Ave & Vanderbilt St,3426.02,40.65328896,-73.976288438,right_only
102,2 Ave & 43 St,3428.04,40.65282464,-74.012850046,right_only
103,2 Ave & 43 St,3428.04,40.65292829363811,-74.01286482810974,left_only
104,Bedford Ave & Clarkson Ave,3439.03,40.65519,-73.9564,left_only
105,Bedford Ave & Clarkson Ave,3439.03,40.655304551,-73.956434369,right_only
106,34 St & 5 Ave,3451.01,40.654098,-74.001131,both
107,Prospect Park SW & Vanderbilt St,3457.03,40.65482,-73.973217,left_only
108,Prospect Park SW & Vanderbilt St,3457.03,40.655285478,-73.973403096,right_only
109,2 Ave & 36 St,3460.01,40.657286286,-74.00861454,right_only
110,2 Ave & 36 St,3460.01,40.65708866668485,-74.00870203971863,left_only
111,36 St & 3 Ave,3460.02,40.655716,-74.006664,both
112,2 Av & 37 St,3460.04,40.656326,-74.009627,both
113,2 Ave & 39 St,3460.05,40.655722167971554,-74.01000827550888,left_only
114,2 Ave & 39 St,3460.05,40.655937552,-74.009762645,right_only
115,Clarkson Ave & Nostrand Ave,3472.03,40.655413866,-73.949607253,right_only
116,Clarkson Ave & Nostrand Ave,3472.03,40.6555,-73.94975,left_only
117,Parkside Ave & Flatbush Ave,3480.04,40.655606985,-73.959547877,right_only
118,Parkside Ave & Flatbush Ave,3480.04,40.65563,-73.95968,left_only
119,Clarkson Ave & Utica Ave,3486.02,40.65666,-73.93109,left_only
120,Clarkson Ave & Utica Ave,3486.02,40.656678677,-73.931245685,right_only
121,34 St & 4 Ave,3492.04,40.655309558,-74.002979994,right_only
122,34 St & 4 Ave,3492.04,40.655278,-74.003101,left_only
123,Prospect Park SW & 16 St,3498.09,40.657265,-73.974165,both
124,New York Ave & Hawthorne St,3504.02,40.65794,-73.94735,both
125,Prospect Park W & 20 St,3507.04,40.656633,-73.983864,both
126,Winthrop St & Rogers Ave,3512.03,40.65686,-73.95331,left_only
127,Winthrop St & Rogers Ave,3512.03,40.65703702,-73.953519583,right_only
128,7 Ave & 22 St,3515.01,40.658029,-73.989605,left_only
129,7 Ave & 22 St,3515.01,40.657912374,-73.989754081,right_only
130,Flatbush Ave & Fenimore St,3520.01,40.657915235,-73.960528255,right_only
131,Flatbush Ave & Fenimore St,3520.01,40.65798,-73.96051,left_only
132,29 St & 5 Ave,3523.06,40.656986,-73.998194,both
133,Winthrop St & Schenectady Ave,3526.06,40.65808,-73.93415,left_only
134,Winthrop St & Schenectady Ave,3526.06,40.65807879,-73.93415153,right_only
135,2 Ave & 32 St,3532.02,40.659176,-74.006584,both
136,Albany Ave & Winthrop St,3535.02,40.65791,-73.93967,both
137,11 Ave & Prospect Ave,3538.09,40.65629,-73.977335,left_only
138,11 Ave & Prospect Ave,3538.09,40.656331062,-73.977290034,right_only
139,Winthrop St & Nostrand Ave,3544.02,40.65707,-73.95005,both
140,19 St & 8 Ave,3547.04,40.658489,-73.985543,both
141,Bedford Ave & Fenimore St,3552.09,40.65815,-73.95674,left_only
142,Bedford Ave & Fenimore St,3552.09,40.658075213,-73.956657171,right_only
143,24 St & 5 Ave,3555.04,40.659451962,-73.994865417,right_only
144,24 St & 5 Ave,3555.04,40.659555,-73.995068,left_only
145,30 St & 4 Ave,3564.04,40.657743,-74.001141,both
146,Rutland Rd & E 45 St,3567.05,40.66034,-73.93618,both
147,Windsor Pl & Howard Pl,3579.04,40.659542203,-73.980250955,right_only
148,Windsor Pl & Howard Pl,3579.04,40.659490558938955,-73.98013919591904,left_only
149,Nostrand Ave & Rutland Rd,3585.06,40.659572721,-73.95047462,right_only
150,Nostrand Ave & Rutland Rd,3585.06,40.6595,-73.95041,left_only
151,7 Ave & 20 St,3588.01,40.658987045,-73.988639355,right_only
152,7 Ave & 20 St,3588.01,40.659053,-73.98854,left_only
153,Maple St & Flatbush Ave,3593.01,40.66026,-73.96045,both
154,Flatbush Ave & Lincoln Rd,3593.1,40.66131,-73.96091,left_only
155,Flatbush Ave & Lincoln Rd,3593.1,40.661153793,-73.960865259,right_only
156,4 Ave & 26 St,3596.04,40.660079,-73.998633,left_only
157,4 Ave & 26 St,3596.04,40.660112381,-73.998592973,right_only
158,Midwood St & Utica Ave,3599.01,40.66124,-73.93164,both
159,Maple St & Albany Ave,3608.06,40.66155,-73.93974,both
160,Prospect Park SW & 10 Ave,3611.02,40.659945,-73.977504,both
161,Maple St & New York Ave,3617.02,40.66104,-73.94795,both
162,Windsor Pl & 8 Ave,3620.02,40.660906,-73.983074,both
163,Bedford Ave & Maple St,3625.04,40.66035,-73.95679,both
164,Rogers Ave & Lincoln Rd,3625.07,40.66117382,-73.953503132,right_only
165,Rogers Ave & Lincoln Rd,3625.07,40.66127,-73.95352,left_only
