station_name,station_id,lat,lng,_merge
Maple St & Flatbush Ave,3593.01,40.66026,-73.96045,both
Flatbush Ave & Lincoln Rd,3593.1,40.66131,-73.96091,left_only
4 Ave & 26 St,3596.04,40.660079,-73.998633,left_only
Midwood St & Utica Ave,3599.01,40.66124,-73.93164,both
Maple St & Albany Ave,3608.06,40.66155,-73.93974,both
Prospect Park SW & 10 Ave,3611.02,40.659945,-73.977504,both
Maple St & New York Ave,3617.02,40.66104,-73.94795,both
Windsor Pl & 8 Ave,3620.02,40.660906,-73.983074,both
Bedford Ave & Maple St,3625.04,40.66035,-73.95679,both
Rogers Ave & Lincoln Rd,3625.07,40.66127,-73.95352,left_only
6 Ave & 21 St,3628.11,40.66016,-73.990974,left_only
Lincoln Rd & Ocean Ave,3633.08,40.6605,-73.9626,left_only
Schenectady Ave & Maple St,3639.04,40.66178,-73.93445,both
Midwood St & Kingston Ave,3648.06,40.66067,-73.94243,left_only
West Drive & Prospect Park West,3651.04,40.6610633719006,-73.97945255041122,left_only
Sterling St & Nostrand Ave,3657.06,40.66318,-73.95076,left_only
7 Ave & 17 St,3660.07,40.66093779493168,-73.98680448532104,left_only
Sterling St & Bedford Ave,3665.06,40.6627059,-73.9569115,left_only
21 St & 4 Ave,3668.04,40.662584,-73.995554,left_only
E New York Ave & Troy Ave,3680.04,40.66227,-73.93762,both
Rogers Ave & Sterling St,3696.05,40.6630619,-73.9538746,left_only
17 St & 5 Ave,3699.07,40.663493,-73.991007,both
Washington Ave & Empire Blvd,3704.01,40.66314,-73.9605695,left_only
Flatbush Ave & Ocean Ave,3704.04,40.663657,-73.963014,both
Sullivan Pl & Franklin Ave,3704.08,40.66407983678161,-73.96025128666679,left_only
23 St & 3 Ave,3707.01,40.662611,-73.998623,left_only
Prospect Park West & 8 St,3722.04,40.66514681533792,-73.97637605667114,both
Empire Blvd & New York Ave,3728.04,40.66403,-73.94769,left_only
14 St & 7 Ave,3731.11,40.663779,-73.98396846,left_only
Bedford Ave & Montgomery St,3736.03,40.665816,-73.956934,left_only
Sullivan Pl & Bedford Ave,3736.04,40.6642406,-73.9574686,left_only
4 Ave & 17 St,3739.06,40.665507,-73.993037,both
Carroll St & Rochester Ave,3742.11,40.66598,-73.9284,left_only
Kingston Ave & Montgomery St,3759.07,40.66481,-73.94269,left_only
10 St & 7 Ave,3762.08,40.6662078,-73.98199886,left_only
Crown St & Rogers Ave,3768.02,40.66639,-73.95346,left_only
14 St & 5 Ave,3771.06,40.666287,-73.98895053,both
Montgomery St & Franklin Ave,3776.05,40.666439306870814,-73.9605563879013,left_only
3 Ave & 17 St,3779.02,40.666168,-73.995549,left_only
Carroll St & Utica Ave,3782.03,40.66619,-73.93162,both
Albany Ave & Carroll St,3791.02,40.6667,-73.93972,both
6 Ave & 12 St,3803.05,40.6663181,-73.9854617,left_only
6 Ave & 9 St,3803.09,40.668127,-73.98377641,both
16th St & 4th Ave,3811.05,40.666197,-73.992466,both
Buffalo Ave & E New York Ave,3814.01,40.66591,-73.92602,left_only
Schenectady Ave & President St,3822.08,40.66732,-73.93398,left_only
Kingston Ave & Carroll St,3831.03,40.66688,-73.9425,both
6 St & 7 Ave,3834.10,40.6686627,-73.97988067,both
President St & Nostrand Ave,3839.02,40.66811,-73.9505,left_only
10 St & 5 Ave,3842.08,40.6686273,-73.98700053,both
Eastern Pkwy & Ralph Ave,3845.05,40.66852,-73.92284,left_only
Carroll St & Franklin Ave,3847.04,40.6679411,-73.9588,both
3 Ave & 14 St,3850.03,40.6685455,-73.99333264,left_only
Eastern Pkwy & Rochester Ave,3853.02,40.66846,-73.9282,both
Flatbush Ave & Eastern Pkwy,3856.03,40.668757,-73.966438,left_only
Eastern Pkwy & Troy Ave,3862.07,40.66929,-73.93679,left_only
3 St & Prospect Park West,3865.05,40.668132,-73.97363831,both
Eastern Pkwy & Brooklyn Ave,3871.02,40.66939,-73.94514,both
5 St & 6 Ave,3874.01,40.6704836,-73.98208968,left_only
Union St & Bedford Ave,3879.04,40.6691783,-73.9554162,left_only
12 St & 4 Ave,3882.01,40.668603,-73.9904394,left_only
Buffalo Ave & St Johns Pl,3885.06,40.67015,-73.92538,left_only
Carroll St & Washington Ave,3887.03,40.6686744,-73.9618148,left_only
Eastern Pkwy & Schenectady Ave,3893.03,40.66876,-73.93376,both
Eastern Pkwy & Kingston Ave,3902.06,40.66959,-73.94237,both
3 St & 7 Ave,3905.15,40.6703837,-73.97839676,both
Eastern Pkwy & Nostrand Ave,3911.05,40.66967,-73.9503,left_only
7 St & 5 Ave,3914.02,40.6704922,-73.98541675,left_only
St Johns Pl & Howard Ave,3917.03,40.66992,-73.92002,both
Eastern Pkwy & Franklin Ave,3919.07,40.6707767,-73.9576801,both
10 St & 2 Ave,3922.02,40.671907,-73.993612,both
Sterling Pl & Rochester Ave,3925.03,40.67128,-73.92825,left_only
Eastern Pkwy & Washington Ave,3928.08,40.6716493,-73.9631145,both
Bay St & Court St,3931.09,40.671409,-74.001328,both
Sterling Pl & Schenectady Ave,3934.06,40.6716,-73.93378,left_only
Troy Ave & Park Pl,3934.07,40.67251,-73.93642,both
Sigourney St & Columbia St,3940.04,40.67267243410948,-74.0087952464819,left_only
St. Johns Pl & Kingston Ave,3943.03,40.67113,-73.94222,both
1 St & 6 Ave,3946.07,40.672784,-73.979826,left_only
Park Pl & Thomas S. Boyland St,3950.03,40.67154,-73.91433,both
Lincoln Pl & Nostrand Ave,3952.07,40.67077,-73.9507,both
Sterling Pl & Ralph Ave,3958.02,40.67095,-73.92222,left_only
Lincoln Pl & Classon Ave,3960.01,40.6721683,-73.9609,both
St Johns Pl & Utica Ave,3966.01,40.6705,-73.9308,both
Park Pl & Utica Ave,3966.03,40.67242,-73.93094,both
Henry St & Bay St,3972.08,40.6725058,-74.00494695,left_only
Albany Ave & Park Pl,3975.02,40.67297,-73.93896,both
Garfield Pl & 8 Ave,3978.13,40.6711978,-73.97484126,left_only
Dwight St & Van Dyke St,3981.10,40.67363551341504,-74.01195555925369,both
Sterling Pl & New York Ave,3984.02,40.67234,-73.94763,left_only
