station_name,count_of_starts,trip_duration,est_trip_distance_miles,count_of_end_destinations
2 Ave & E 125 St,1083.0,14.0548784241305,1.3125300092336103,1097
2 Ave & E 29 St,5279.0,11.569268169476542,1.0905190376965335,5332
2 Ave & E 31 St,4448.0,11.421519034772182,1.1074303057553958,4498
2 Ave & E 72 St,4831.0,13.288877389084385,1.2437569861312359,4853
2 Ave & E 96 St,3369.0,12.275457603641042,1.1173256159097655,3388
2 Ave & E 99 St,814.0,12.074324324324325,1.1314127764127764,824
20 Ave & 21 St,409.0,10.807579462102689,0.7244498777506113,407
20 Ave & 31 St,52.0,13.89423076923077,0.7315384615384615,59
20 Ave & 38 St,611.0,11.238325150027277,0.8472831423895255,603
20 Ave & 42 St,294.0,10.878798185941044,0.9818367346938777,292
20 Ave & 48 St,505.0,12.847722772277228,0.80590099009901,517
20 Ave & Shore Blvd,212.0,15.61312893081761,0.8905188679245283,214
21 Ave & 80 St,178.0,15.34625468164794,1.0570786516853932,186
21 Ave & Crescent St,1287.0,8.933242683242684,0.6772649572649573,1295
21 Ave & Shore Blvd,510.0,12.72421568627451,0.7552745098039215,507
21 St & 21 Ave,811.0,9.63512124948623,0.7731565967940813,821
21 St & 23 Ave,528.0,10.475189393939393,0.7307954545454546,530
21 St & 31 Dr,962.0,11.175485100485101,0.8319126819126819,974
21 St & 36 Ave,483.0,13.455314009661837,0.929648033126294,484
21 St & 38 Ave,239.0,15.116666666666665,1.054602510460251,228
21 St & 4 Ave,761.0,14.143758212877792,1.3632325886990802,791
21 St & 43 Ave,715.0,13.686200466200466,1.113902097902098,715
21 St & Hoyt Ave S,1251.0,11.698134825472955,0.9227977617905676,1219
21 St & Queens Plaza North,1067.0,13.130006248047486,0.9440674789128398,1066
23 Ave & 27 St,591.0,11.867992103778906,1.0390524534686971,602
23 Rd & 31 St,522.0,10.521807151979566,0.5687739463601532,529
23 St & 3 Ave,148.0,15.951914414414414,1.2861486486486486,153
23 St & 31 Ave,652.0,12.90191717791411,0.8838957055214723,656
24 Ave & 26 St,753.0,11.847476759628153,0.9985790172642761,761
24 Ave & 29 St,842.0,11.809976247030878,0.8059501187648456,817
24 St & 38 Ave,467.0,14.726052819414704,1.0662526766595288,474
24 St & 41 Ave,859.0,12.599010477299185,1.181897555296857,869
24 St & 5 Ave,625.0,13.342906666666668,1.23032,623
25 Ave & 41 St,1283.0,10.33916601714731,0.8294232268121591,1284
27 Ave & 3 St,393.0,14.20284139100933,1.175852417302799,393
27 Ave & 9 St,566.0,12.353533568904595,0.9601590106007067,573
27 St & Hunter St,1644.0,18.576287510137877,1.2833515815085157,1625
28 Ave & 35 St,785.0,10.565966029723992,0.8197579617834395,801
28 Ave & 44 St,958.0,12.373625608907446,0.7987369519832985,843
28 St & 36 Ave,856.0,14.086760124610592,0.9563785046728972,870
28 St & 41 Ave,1452.0,13.383505509641873,1.2621005509641874,1479
29 St & 5 Ave,271.0,13.43929889298893,1.3706642066420665,280
3 Ave & 14 St,516.0,14.792829457364341,1.2807945736434108,514
3 Ave & 17 St,155.0,14.282150537634408,1.4418064516129032,153
3 Ave & Carroll St,934.0,12.2139721627409,1.1685010706638117,938
3 Ave & E 100 St,942.0,13.061606510969568,0.9626114649681529,953
3 Ave & E 112 St,1031.0,12.482347235693501,0.9603491755577109,1037
3 Ave & E 163 St,683.0,16.16444607125427,0.6619180087847731,695
3 Ave & E 169 St,1199.0,14.011537392271336,0.6430608840700583,1218
3 Ave & E 170 St,873.0,14.543184421534939,0.6035624284077892,885
3 Ave & E 172 St,582.0,14.066323024054983,0.7529725085910653,555
3 Ave & E 174 St,380.0,14.210175438596492,0.9863947368421052,395
3 Ave & E 62 St,2808.0,14.07608024691358,1.2363283475783475,2798
3 Ave & E 71 St,2052.0,13.436517218973359,1.2032163742690059,1873
3 Ave & E 72 St,1818.0,13.629345434543454,1.240984598459846,1847
3 Ave & Franklin Ave,1421.0,17.60645085620455,0.47586206896551725,1436
3 Ave & Schermerhorn St,1851.0,12.917468035296237,1.182479740680713,1863
3 Ave & Wakeman Pl,227.0,24.74618208516887,1.0883259911894274,223
3 St & 3 Ave,989.0,11.534967981125718,1.0200910010111224,1111
3 St & 7 Ave,2375.0,11.394645614035088,1.0256842105263158,2384
3 St & Hoyt St,838.0,11.658392999204455,1.0378997613365155,826
3 St & Prospect Park West,2491.0,15.02923190151211,0.9859052589321557,2510
30 Ave & 12 St,356.0,11.582631086142323,0.9973314606741573,349
30 Ave & 21 St,633.0,12.018562401263823,0.980126382306477,644
30 Ave & 41 St,1079.0,10.505189990732159,0.8338276181649676,1065
30 Ave & 47 St,602.0,10.88048172757475,0.7184717607973422,596
30 St & 4 Ave,320.0,14.906145833333332,1.42803125,324
30 St & 48 Ave,158.0,14.859071729957805,1.3903164556962024,166
31 Ave & 14 St,709.0,11.449835448989187,0.8859661495063469,711
31 Ave & 30 St,987.0,11.901215805471125,1.0303748733535967,994
31 Ave & 34 St,1461.0,11.955509924709103,1.0160574948665297,1463
31 Ave & 57 St,322.0,12.050414078674947,0.7677329192546584,324
31 Ave & 61 St,322.0,13.63866459627329,1.0474223602484471,330
31 Ave & Crescent St,1134.0,11.973985890652557,1.0091534391534394,1136
31 Ave & Steinway St,1333.0,11.23788447111778,0.8121530382595649,1340
31 Pl & Hunters Point Ave,126.0,14.507804232804233,1.3234920634920635,123
31 St & 21 Ave,775.0,9.972559139784947,0.6514451612903226,768
31 St & 23 Ave,2058.0,9.099813735017817,0.7752380952380953,2072
31 St & Astoria Blvd,1110.0,10.237342342342343,0.8742702702702703,1112
31 St & Broadway,2028.0,10.697435897435899,0.9511587771203156,2048
31 St & Ditmars Blvd,1766.0,9.341496791241978,0.6643488108720272,1776
31 St & Hoyt Ave N,818.0,12.07063977180114,0.7750611246943765,817
31 St & Newtown Ave,2409.0,9.45610903556109,0.8545039435450394,2428
31 St & Northern Blvd,694.0,11.329298751200769,1.1439048991354468,699
31 St & Thomson Ave,698.0,13.747397325692454,1.1810601719197709,677
33 St & 47 Ave,388.0,10.581958762886599,0.9114690721649484,373
33 St & Queens Blvd,366.0,10.915209471766849,0.9026775956284153,358
34 Ave & 13 St,334.0,11.51756487025948,0.937754491017964,332
34 Ave & 21 St,450.0,12.718703703703705,0.9646,448
34 Ave & 31 St,815.0,11.2599591002045,1.067361963190184,814
34 Ave & 38 St,1311.0,11.752491736587846,0.9793821510297483,1321
34 Ave & 45 St,535.0,10.923707165109034,0.9901682242990655,529
34 Ave & 48 St,521.0,12.434452975047986,0.9142994241842611,526
34 St & 35 Ave,802.0,10.78738570241064,0.9100872817955112,808
34 St & 38 Ave,600.0,11.946777777777777,1.1521166666666667,611
34 St & 4 Ave,377.0,13.124801061007958,1.4057294429708225,378
34 St & 48 Ave,195.0,14.398461538461538,1.3826153846153846,183
34 St & 5 Ave,165.0,9.534040404040404,1.0367272727272727,165
34th Ave & Vernon Blvd,861.0,15.102342237708092,1.0883042973286876,869
35 Ave & 10 St,707.0,12.97062706270627,1.0836775106082037,706
35 Ave & 37 St,1238.0,15.112197092084008,1.0142407108239095,1227
35 St & 21 Ave,517.0,10.996905222437137,0.6072147001934236,510
35 St & 23 Ave,928.0,10.829202586206897,0.7095150862068965,948
35 St & 30 Ave,1051.0,15.522423089121473,0.9384110371075166,1052
35 St & 34 Ave,698.0,9.56098376313276,0.8556446991404012,709
35 St & Broadway,1099.0,11.867379435850774,0.9413011828935396,1122
36 Ave & 10 St,578.0,13.730594002306805,1.1034602076124567,590
36 Ave & 31 St,1270.0,10.596758530183727,0.9457480314960629,1293
36 St & 3 Ave,675.0,20.492024691358026,1.5682370370370369,695
36 St & 4 Ave,741.0,13.154835807467387,1.2627125506072874,763
